date,event_type,event_name,impact_level,start_time,end_time
2025/9/26,0,工作日,1,0:00,23:59
2025/9/27,3,工作日-KTV周年,2,0:00,23:59
2025/9/28,3,周末,2,0:00,23:59
2025/9/29,0,工作日,1,0:00,23:59
2025/9/30,0,工作日,1,0:00,23:59
2025/10/1,1,国庆节第1天,5,0:00,23:59
2025/10/2,1,国庆节第2天,5,0:00,23:59
2025/10/3,1,国庆节第3天,5,0:00,23:59
2025/10/4,1,国庆节第4天,4,0:00,23:59
2025/10/5,1,国庆节第5天,4,0:00,23:59
2025/10/6,1,国庆节第6天,4,0:00,23:59
2025/10/7,1,国庆节第7天,4,0:00,23:59
2025/10/8,7,国庆调休补班,2,0:00,23:59
2025/10/9,0,工作日,1,0:00,23:59
2025/10/10,0,工作日,1,0:00,23:59
2025/10/11,0,工作日,1,0:00,23:59
2025/10/12,2,周末,2,0:00,23:59
2025/10/13,2,周末,2,0:00,23:59
2025/10/14,0,工作日,1,0:00,23:59
2025/10/15,0,工作日,1,0:00,23:59
2025/10/16,0,工作日-万圣节活动,2,9:00,22:00
2025/10/17,0,工作日,1,0:00,23:59
2025/10/18,3,工作日-粉丝应援会,4,14:00,17:00
2025/10/19,2,周末,2,0:00,23:59
2025/10/20,2,周末,2,0:00,23:59
2025/10/21,0,工作日,1,0:00,23:59
2025/10/22,0,工作日,1,0:00,23:59
2025/10/23,0,工作日,1,0:00,23:59
2025/10/24,0,工作日,1,0:00,23:59
2025/10/25,0,工作日,1,0:00,23:59
2025/10/26,2,周末,2,0:00,23:59
2025/10/27,2,周末,2,0:00,23:59
2025/10/28,0,工作日,1,0:00,23:59
2025/10/29,0,工作日,1,0:00,23:59
2025/10/30,0,工作日,1,0:00,23:59
2025/10/31,3,工作日-华清七周年,3,9:00,22:00
2025/11/1,3,工作日-华清七周年,3,9:00,22:00
2025/11/2,3,周末-华清七周年,4,9:00,22:00
2025/11/3,2,周末,2,0:00,23:59
2025/11/4,0,工作日,1,0:00,23:59
2025/11/5,0,工作日,1,0:00,23:59
2025/11/6,0,工作日,1,0:00,23:59
2025/11/7,0,工作日,1,0:00,23:59
2025/11/8,0,工作日,1,0:00,23:59
2025/11/9,2,周末,2,0:00,23:59
2025/11/10,2,周末,2,0:00,23:59
2025/11/11,3,双十一购物节,3,0:00,23:59
2025/11/12,0,工作日,1,0:00,23:59
2025/11/13,0,工作日,1,0:00,23:59
2025/11/14,0,工作日,1,0:00,23:59
2025/11/15,0,工作日,1,0:00,23:59
2025/11/16,2,周末,2,0:00,23:59
2025/11/17,3,必胜客活动,3,10:00,23:59
2025/11/18,0,工作日,1,0:00,23:59
2025/11/19,0,工作日,1,0:00,23:59
2025/11/20,0,工作日,1,0:00,23:59
2025/11/21,0,工作日,1,0:00,23:59
2025/11/22,0,工作日,1,0:00,23:59
2025/11/23,2,周末,2,0:00,23:59
2025/11/24,2,周末-折扣促销,2,0:00,23:59
2025/11/25,3,工作日-衣服促销-奈绪十周年,3,9:00,22:00
2025/11/26,0,工作日-衣服促销,1,0:00,23:59
2025/11/27,0,工作日-衣服促销,1,0:00,23:59
2025/11/28,0,工作日-衣服促销,1,0:00,23:59
2025/11/29,0,工作日-衣服促销,1,0:00,23:59
2025/11/30,2,周末-衣服促销,2,0:00,23:59
2025/12/1,2,周末,2,0:00,23:59
2025/12/2,0,工作日,1,0:00,23:59
2025/12/3,0,工作日,1,0:00,23:59
2025/12/4,0,工作日,1,0:00,23:59
2025/12/5,0,工作日,1,0:00,23:59
2025/12/6,0,工作日,1,0:00,23:59
2025/12/7,2,周末,2,0:00,23:59
2025/12/8,2,周末,2,0:00,23:59
2025/12/9,0,工作日,1,0:00,23:59
2025/12/10,0,工作日,1,0:00,23:59
2025/12/11,3,购物超市开业,3,9:00,21:30
2025/12/12,3,超市促销,3,9:00,21:30
2025/12/13,3,超市促销,3,9:00,21:30
2025/12/14,3,超市促销,3,9:00,21:30
2025/12/15,3,超市促销,3,9:00,21:30
2025/12/16,0,工作日,1,0:00,23:59
2025/12/17,0,工作日,1,0:00,23:59
2025/12/18,0,工作日,1,0:00,23:59
2025/12/19,0,工作日,1,0:00,23:59
2025/12/20,3,儿童剧,2,17:00,18:00
2025/12/21,2,会员活动,2,11:00,19:00
2025/12/22,2,周末,2,0:00,23:59
2025/12/23,0,工作日,1,0:00,23:59
2025/12/24,3,平安夜,3,18:00,23:59
2025/12/25,3,圣诞节,3,0:00,23:59
2025/12/26,0,工作日,1,0:00,23:59
2025/12/27,0,工作日,1,0:00,23:59
2025/12/28,2,周末,2,0:00,23:59
2025/12/29,2,周末,2,0:00,23:59
